PMID,Title,L1_Exact,L1_Fuzzy,L1_Strategies,L1_Unmatched,L1_Precision,L1_Recall,L1_F1,L2_Exact,L2_Fuzzy,L2_Strategies,L2_Unmatched,L2_Precision,L2_Recall,L2_F1,L3_Exact,L3_Fuzzy,L3_Strategies,L3_Unmatched,L3_Precision,L3_Recall,L3_F1,Semantic_Reasoning
23508416.0,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.,"biomarker, disease",,,,,,,inflammation biomarkers,,,,,,,,,,,,,,"The health outcomes in this paper primarily fall under the broad categories of biomarkers and diseases, with a specific focus on inflammation biomarkers."
27453791.0,Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study.,biomarker,,,,,,,DNAmethylation,,,,,,,genes-450K,,,,,,,"The health outcome in this paper is related to blood DNA methylation age, which falls under the category of biomarkers. Specifically, the outcome is measured using DNAmethylation of genes-450K."
34171372.0,Metabolomic signatures of the short-term exposure to air pollution and temperature.,"disease, biomarker",,,,,,,"metabolites, inflammation biomarkers",,,,,,,"untargeted metabolomics profiling, inflammation biomarkers",,,,,,,"The health outcomes in this paper focus on disease-related metabolites and inflammation biomarkers, which fall under the broader categories of disease and biomarker."
34171372.0,Metabolomic signatures of the short-term exposure to air pollution and temperature.,,,,metabolomic signatures,,,,metabolites,,,,,,,untargeted metabolomics profiling,,,,,,,"The paper focuses on the metabolomic signatures as a result of short-term exposure to air pollution and temperature, specifically analyzing metabolites through untargeted metabolomics profiling."
30343628.0,Metastable DNA methylation sites associated with longitudinal lung function decline and aging in humans: an epigenome-wide study in the NAS and KORA cohorts.,"biomarker, disease",,,,,,,"DNAmethylation, lung function",,,aging,,,,"genes-450K, FEV1/FVC, aging clocks",,,,,,,"The health outcomes extracted from the paper include biomarkers (DNAmethylation), lung function, and aging. These outcomes were classified into their specific measures such as genes-450K for DNAmethylation, FEV1/FVC for lung function, and aging clocks for aging."
30059941.0,"Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment.","biomarker, disease",,,,,,,"metabolites, inflammation biomarkers, toenail metals",,,,,,,"untargeted metabolomics profiling, toenail cadmium",urinary lead (0.88),partial_word,,,,,"Metabolites and inflammation biomarkers are specific outcomes related to the broader categories of biomarkers and disease. Toenail metals, including toenail cadmium, are specific measures of exposure to heavy metals."
34537201.0,Associations between solar and geomagnetic activity and peripheral white blood cells in the Normative Aging Study.,"biomarker, disease",,,,,,,white blood cell counts,,,,,,,"total white blood cell, neutrophil concentration, monocytes concentration, lymphocyte concentration, eosinophil concentration, basophil concentration",,,,,,,"The health outcomes in this paper focus on peripheral white blood cell counts, which fall under the category of biomarkers and diseases."
31766133.0,Effect of Dietary Sodium and Potassium Intake on the Mobilization of Bone Lead among Middle-Aged and Older Men: The Veterans Affairs Normative Aging Study.,disease,,,,,,,,mortality (0.67),fuzzy_normalized,,,,,,,,bone lead mobilization,,,,"The health outcome of interest in this study is the effect of dietary sodium and potassium intake on the mobilization of bone lead, which falls under the category of disease (lead toxicity) and specifically addresses morbidity related to bone lead mobilization."
30248605.0,Road proximity influences indoor exposures to ambient fine particle mass and components.,disease,,,,,,,cardiovascular disease,incident chronic kidney disease (0.88),partial_word,,,,,"incident coronary heart disease, short-term PM2.5 mass, short-term PM2.5 elemental components",,,,,,,"The health outcomes in this paper focus on the impact of road proximity on indoor exposures to ambient fine particle mass and components, specifically looking at cardiovascular and respiratory diseases such as incident coronary heart disease."
32791250.0,Metabolomic signatures of lead exposure in the VA Normative Aging Study.,biomarker,,,,,,,metabolites,,,,,,,untargeted metabolomics profiling,,,,,,,"Metabolites are a specific type of biomarker, and in this study, the focus is on untargeted metabolomics profiling as a detailed measure of lead exposure."
30826618.0,"Impacts of air pollution, temperature, and relative humidity on leukocyte distribution: An epigenetic perspective.",disease,,,,,,,leukocyte distribution,,,,,,,,,,,,,,"The outcome 'leukocyte distribution' falls under the broad category of 'disease' as it involves changes in the distribution of white blood cells in the body, which can indicate immune system responses to environmental factors like air pollution, temperature, and humidity."
28284819.0,Associations between long-term exposure to PM(2.5) component species and blood DNA methylation age in the elderly: The VA normative aging study.,biomarker,,,,,,,DNAmethylation,,,,,,,,,,DNA methylation age,,,,"The outcome of interest in this study is the association between long-term exposure to PM(2.5) component species and blood DNA methylation age, which falls under the biomarker category and specifically involves DNAmethylation as a measure."
33549618.0,Associations between PM(2.5) metal components and QT interval length in the Normative Aging Study.,,disease (0.95),contains,,,,,,,,QT interval,,,,,QT interval (0.95),contains,,,,,"The paper focuses on the association between PM(2.5) metal components and QT interval length, which is a specific cardiovascular outcome measure related to heart function."
23370289.0,Cumulative lead exposure in community-dwelling adults and fine motor function: comparing standard and novel tasks in the VA normative aging study.,disease,,,,,,,fine motor function,,,,,,,,reactivity to health stressors (0.88),partial_word,,,,,"The health outcome in this paper falls under the disease category, specifically focusing on fine motor function as a specific outcome measure."
33027507.0,Associations of Plasma Folate and Vitamin B6 With Blood DNA Methylation Age: An Analysis of One-Carbon Metabolites in the VA Normative Aging Study.,biomarker,,,,,,,DNAmethylation,,,,,,,genes-450K,,,,,,,"The health outcome extracted from the paper is related to DNA methylation age, specifically focusing on genes-450K which is a specific measure of DNAmethylation."
34713707.0,Solar Activity Is Associated With Diastolic and Systolic Blood Pressure in Elderly Adults.,disease,,,,,,,cardiovascular disease,,,,,,,,diastolic blood pressure (0.95),contains,,,,,"The health outcomes in this paper fall under the category of cardiovascular disease, specifically focusing on diastolic and systolic blood pressure measurements in elderly adults."
23603705.0,Lead exposure and fear-potentiated startle in the VA Normative Aging Study: a pilot study of a novel physiological approach to investigating neurotoxicant effects.,disease,,,,,,,,reactivity to health stressors (0.88),partial_word,,,,,,acoustic startle reflex (0.88),partial_word,,,,,"The health outcome in this paper falls under the category of disease, specifically focusing on the neurotoxicant effects of lead exposure as measured by fear-potentiated startle responses."
26733571.0,Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study.,psychosocial,,,,,,,DNAmethylation,inflammation biomarkers (0.88),partial_word,,,,,,genes-450K (0.88),partial_word,,,,,"The paper focuses on the psychological factors and DNA methylation of genes related to immune/inflammatory system markers, which fall under the psychosocial category in Layer 1. The specific outcomes include DNAmethylation and immune/inflammatory system markers, with a detailed measure of genes rela"
27815016.0,What is unrealistic optimism?,psychosocial,,,,,,,,,,,,,,,,,,,,,"The paper discusses unrealistic optimism, which falls under the broad category of psychosocial outcomes."
27927620.0,"Ambient Fine Particulate Matter, Outdoor Temperature, and Risk of Metabolic Syndrome.",disease,,,,,,,,incident metabolic syndrome (0.95),contains,,,,,,,,,,,,"The health outcome in this paper is focused on the risk of metabolic syndrome, which falls under the category of disease outcomes."
27927620.0,"Ambient Fine Particulate Matter, Outdoor Temperature, and Risk of Metabolic Syndrome.",disease,,,,,,,,incident metabolic syndrome (0.95),contains,,,,,,,,,,,,"The health outcome in this paper is focused on the disease category, specifically metabolic syndrome."
28592514.0,A Western Diet Pattern Is Associated with Higher Concentrations of Blood and Bone Lead among Middle-Aged and Elderly Men.,disease,,,,,,,,"blood lead (0.95), bone lead (0.95)","contains, contains",,,,,,blood lead (0.95),contains,bone lead levels,,,,"The health outcomes in this paper focus on the association between a Western diet pattern and lead concentrations in the blood and bones of middle-aged and elderly men, indicating potential health risks related to lead exposure."
32361261.0,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men.,biomarker,,,,,,,DNAmethylation,,,,,,,,,,DNA methylation age variables,,,,"The health outcome in this paper relates to DNA methylation age variables, which fall under the biomarker category and specifically DNAmethylation in Layer 2."
30317107.0,"Dietary patterns, bone lead and incident coronary heart disease among middle-aged to elderly men.",disease,,,,,,,,incident chronic kidney disease (0.88),partial_word,,,,,incident coronary heart disease,,,,,,,The outcome 'incident coronary heart disease' falls under the broad category of 'disease' and is a specific outcome measure in this study.
24170714.0,Emotional Reactivity and Mortality: Longitudinal Findings From the VA Normative Aging Study.,disease,,,mortality,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The health outcomes extracted from the paper include disease and mortality, with a specific focus on cardiovascular disease, particularly incident coronary heart disease."
22649255.0,Folate network genetic variation predicts cardiovascular disease risk in non-Hispanic white males.,disease,,,,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The health outcome in this paper is related to cardiovascular disease risk, specifically predicting incident coronary heart disease in non-Hispanic white males."
30608198.0,Low-Level Cumulative Lead and Resistant Hypertension: A Prospective Study of Men Participating in the Veterans Affairs Normative Aging Study.,"disease, biomarker",,,,,,,resistant hypertension,,,,,,,,,,,,,,"Resistant hypertension is a specific type of hypertension, which falls under the broad category of disease and can also be considered a biomarker of cardiovascular health."
26724585.0,"Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men.",disease,,,,,,,,olfactory recognition (0.95),contains,,,,,,,,,,,,The health outcome 'cognition' falls under the broad category of 'disease' in the context of this paper.
26724585.0,"Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men.",disease,,,,,,,,olfactory recognition (0.95),contains,,,,,,,,,,,,The health outcome 'cognition' falls under the broad category of 'disease'.
26791184.0,Dietary anthocyanin intake and age-related decline in lung function: longitudinal findings from the VA Normative Aging Study.,,,,lung function,,,,,lung function (0.95),contains,,,,,"FEV1/FVC, FEV1, MMEF",,,,,,,"The health outcome in this paper focuses on lung function decline, which falls under the broad category of lung function. The specific outcomes include measurements such as FEV1/FVC, FEV1, and MMEF, which are indicators of lung function decline."
26956024.0,Ambient particulate matter and microRNAs in extracellular vesicles: a pilot study of older individuals.,"disease, biomarker",,,,,,,"cardiovascular disease, inflammation biomarkers",,,,,,,,,,"miR-126-3p, miR-19b-3p, miR-93-5p, miR-223-3p, miR-142-3p, miR-23a-3p, miR-150-5p, miR-15a-5p, miR-191-5p, let-7a-5p",,,,"The outcomes in this paper focus on the association between ambient particulate matter and microRNAs in extracellular vesicles with a specific emphasis on cardiovascular disease and inflammation biomarkers. The detailed measures include specific miRNAs such as miR-126-3p, miR-19b-3p, miR-93-5p, miR-"
22219209.0,Openness to experience and mortality in men: analysis of trait and facets.,,,,mortality,,,,,,,,,,,,,,,,,,"The paper focuses on the relationship between openness to experience and mortality in men, with mortality being the specific health outcome of interest."
26121922.0,Cumulative lead exposure is associated with reduced olfactory recognition performance in elderly men: The Normative Aging Study.,disease,,,,,,,,olfactory recognition (0.95),contains,,,,,,olfactory recognition (0.95),contains,,,,,The health outcome 'olfactory recognition performance' falls under the broad category of 'disease' and is a specific measure of the impact of cumulative lead exposure on the sense of smell in elderly men.
21464364.0,Healthy psychological functioning and incident coronary heart disease: the importance of self-regulation.,psychosocial,,,,,,,,incident chronic kidney disease (0.88),partial_word,,,,,,,,,,,,"The paper focuses on the relationship between healthy psychological functioning (psychosocial) and incident coronary heart disease, which falls under the disease outcome category."
31277270.0,Smoking-Related DNA Methylation is Associated with DNA Methylation Phenotypic Age Acceleration: The Veterans Affairs Normative Aging Study.,biomarker,,,,,,,DNAmethylation,,,phenotypic age acceleration,,,,,microRNA in extracellular vesicles (0.88),partial_word,,,,,"The health outcomes in this paper focus on biomarkers related to DNA methylation and phenotypic age acceleration, with a specific emphasis on smoking-related DNA methylation."
31336254.0,Short-term ambient particle radioactivity level and renal function in older men: Insight from the Normative Aging Study.,disease,,,,,,,,incident chronic kidney disease (0.95),contains,,,,,incident chronic kidney disease,,,,,,,"The health outcome in this paper falls under the disease category, specifically chronic kidney disease, which is a specific type of renal condition."
31336254.0,Short-term ambient particle radioactivity level and renal function in older men: Insight from the Normative Aging Study.,disease,,,,,,,incident chronic kidney disease,,,,,,,glomerular filtration rate,,,,,,,"The health outcome in this paper falls under the disease category, specifically focusing on incident chronic kidney disease, with a specific measure of glomerular filtration rate."
29475968.0,miRNA-Processing Gene Methylation and Cancer Risk.,disease,,,,,,,,incident cancer (0.88),partial_word,,,,,,incident cancer (0.88),partial_word,,,,,"The health outcome in this paper is focused on cancer risk, which falls under the disease category. Specifically, the study examines the relationship between miRNA-processing gene methylation and the risk of developing cancer."
34252666.0,Short-term exposure to PM(2.5) components and renal health: Findings from the Veterans Affairs Normative Aging Study.,disease,,,,,,,,reactivity to health stressors (0.88),partial_word,,,,,"incident chronic kidney disease, blood urea nitrogen, glomerular filtration rate",,,,,,,"The health outcomes in this paper focus on renal health, specifically looking at incident chronic kidney disease, blood urea nitrogen levels, and glomerular filtration rate as measures of kidney function."
34252666.0,Short-term exposure to PM(2.5) components and renal health: Findings from the Veterans Affairs Normative Aging Study.,disease,,,,,,,,reactivity to health stressors (0.88),partial_word,,,,,incident chronic kidney disease,,,,,,,"The health outcome 'renal health' falls under the broad category of 'disease', specifically referring to 'incident chronic kidney disease'."
24636503.0,Pessimistic orientation in relation to telomere length in older men: the VA normative aging study.,psychosocial,,,,,,,leukocyte telomere length,,,,,,,,,,,,,,"The outcome 'leukocyte telomere length' falls under the broad category of psychosocial outcomes, as it is a measure of cellular aging influenced by psychological factors."
25627872.0,Associations between air pollution and perceived stress: the Veterans Administration Normative Aging Study.,psychosocial,,,,,,,perceived stress,,,,,,,,perceived stress (0.95),contains,,,,,"The outcome 'perceived stress' falls under the broad category of psychosocial outcomes, specifically measuring stress levels using the 14-item Perceived Stress Scale (PSS) score."
28351767.0,Short-term effects of air temperature and mitochondrial DNA lesions within an older population.,disease,,,,,,,,mitochondrial DNA (0.95),contains,,,,,mitochondrial DNA 8-OHdG lesions,,,,,,,"The health outcome of interest in this paper is related to mitochondrial DNA lesions, specifically focusing on mitochondrial DNA 8-OHdG lesions within an older population."
30419128.0,Association of Long-term Ambient Black Carbon Exposure and Oxidative Stress Allelic Variants With Intraocular Pressure in Older Men.,disease,,,,,,,intraocular pressure,,,,,,,intraocular pressure,,,,,,,The health outcome 'intraocular pressure' falls under the broad category of 'disease' as it is a clinical measurement related to eye health.
24227017.0,"Associations between short-term changes in air pollution and correlates of arterial stiffness: The Veterans Affairs Normative Aging Study, 2007-2011.",,disease (0.95),contains,,,,,arterial stiffness,,,,,,,,,,,,,,"The paper focuses on the association between short-term changes in air pollution and arterial stiffness, which falls under the broader category of cardiovascular disease outcomes."
26518259.0,The effects of daily co-occurrence of affect on older adults' reactivity to health stressors.,psychosocial,,,,,,,,,,,,,,,,,,,,,"The paper focuses on the effects of daily co-occurrence of affect on older adults' reactivity to health stressors, indicating a psychosocial outcome."
27025874.0,Metabolic Syndrome and Periodontal Disease Progression in Men.,disease,,,,,,,periodontal disease progression,incident metabolic syndrome (0.95),contains,,,,,,,,,,,,"Metabolic syndrome and periodontal disease progression are specific health conditions, falling under the broad category of disease outcomes."
24385016.0,"Air pollution and gene-specific methylation in the Normative Aging Study: association, effect modification, and mediation analysis.","biomarker, disease",,,,,,,"DNAmethylation, cardiovascular disease, mortality",,,,,,,"genes-450K, incident coronary heart disease",,,,,,,"The health outcomes extracted from the paper include gene-specific methylation (DNAmethylation) as a biomarker, cardiovascular disease as a disease outcome, and mortality as a broad outcome category. The specific outcomes identified are genes-450K and incident coronary heart disease, which fall unde"
23075571.0,Alu and LINE-1 methylation and lung function in the normative ageing study.,biomarker,,,lung function,,,,DNAmethylation,,,,,,,,microRNA in extracellular vesicles (0.88),partial_word,,,,,Alu and LINE-1 methylation are specific biomarkers related to lung function in the context of the study.
28001123.0,Fine-scale spatial and temporal variation in temperature and arrhythmia episodes in the VA Normative Aging Study.,disease,,,,,,,cardiovascular disease,,,,,,,,arrhythmia (0.95),contains,,,,,"The health outcome 'arrhythmia episodes' falls under the broad category of 'disease', specifically 'cardiovascular disease'."
33413450.0,Metabolomic signatures of the long-term exposure to air pollution and temperature.,disease,biomarker (0.95),contains,oxidative stress,,,,metabolites,incident metabolic syndrome (0.88),partial_word,,,,,,"lipid profile (0.88), lipid profile (0.88), microRNA in extracellular vesicles (0.88), microRNA in extracellular vesicles (0.88), serum uric acid (0.88), microRNA in extracellular vesicles (0.88)","partial_word, partial_word, partial_word, partial_word, partial_word, partial_word","glutathione metabolism, propanoate metabolism",,,,"The paper discusses the association between long-term exposure to air pollution and temperature with changes in blood metabolome, focusing on metabolites and metabolic pathways related to inflammation, oxidative stress, immunity, and nucleic acid damage and repair."
33413450.0,Metabolomic signatures of the long-term exposure to air pollution and temperature.,disease,biomarker (0.95),contains,metabolites,,,,,"incident metabolic syndrome (0.88), inflammation biomarkers (0.95), reactivity to health stressors (0.88), air pollution (0.88)","partial_word, contains, partial_word, partial_word",immunity,,,,,"lipid profile (0.88), lipid profile (0.88), microRNA in extracellular vesicles (0.88), microRNA in extracellular vesicles (0.88), serum uric acid (0.88), microRNA in extracellular vesicles (0.88)","partial_word, partial_word, partial_word, partial_word, partial_word, partial_word","glutathione metabolism, propanoate metabolism",,,,"The health outcomes in this paper focus on disease processes related to long-term exposure to air pollution and temperature, specifically involving inflammation biomarkers, metabolites, and metabolic pathways associated with inflammation, oxidative stress, immunity, and nucleic acid damage and repai"
29684737.0,Lung function association with outdoor temperature and relative humidity and its interaction with air pollution in the elderly.,disease,disease (0.95),contains,,,,,"lung function, air pollution",,,,,,,"FEV1/FVC, FEV1, FVC",,,,,,,"The health outcomes in this paper focus on respiratory diseases, specifically lung function measurements such as FEV1/FVC, FEV1, and FVC, in relation to air pollution and environmental factors like outdoor temperature and relative humidity."
37847102.0,Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.,disease,,,,,,,,,,musculoskeletal injury,,,,,patella lead (0.88),partial_word,,,,,"The paper focuses on the progression of patellar tendon load during rehabilitation exercises, which is directly related to musculoskeletal injuries such as patellar tendon injuries."
